Foods,Unit,Price/Serving,Serving Size,Calories,Cholesterol mg,Total_Fat g,Sodium mg,Carbohydrates g,Dietary_Fiber g,Protein g,Vit_A IU,Vit_C IU,Calcium mg,Iron mg
"Raisin Brn, Kellg'S",Oz,0.34,1.30,115.1,0,0.7,204.4,27.9,4,4,1250.2,0,12.9,16.8
Rice Krispies,Oz,0.32,1.00,112.2,0,0.2,340.8,24.8,0.4,1.9,1252.2,15.1,4,1.8
Special K,Oz,0.38,1.00,110.8,0,0.1,265.5,21.3,0.7,5.6,1252.2,15.1,8.2,4.5
Oatmeal,1 C,0.82,1.00,145.1,0,2.3,2.3,25.3,4,6.1,37.4,0,18.7,1.6
"Malt-O- Meal,Choc",1 C,0.52,1.00,607.2,0,1.5,16.5,128.2,0,17.3,0,0,23.1,47.2
Pizza W/Pepperoni,Slice,0.44,1.00,181,14.2,7,267,19.9,0,10.1,281.9,1.6,64.6,0.9
Taco,Small Taco,0.59,1.00,369.4,56.4,20.6,802,26.7,0,20.7,855,2.2,220.6,2.4
Hamburger W/Toppings,pc,0.83,1.00,275,42.8,10.2,563.9,32.7,0,13.6,126.3,2.6,51.4,2.5
"Hotdog, Plain",pc,0.31,1.00,242.1,44.1,14.5,670.3,18,0,10.4,0,0.1,23.5,2.3
Couscous,Cup,0.39,0.50,100.8,0,0.1,4.5,20.9,1.3,3.4,0,0,7.2,0.3
White Rice,Cup,0.08,0.50,102.7,0,0.2,0.8,22.3,0.3,2.1,0,0,7.9,0.9
"Macaroni,Ckd",Cup,0.17,0.50,98.7,0,0.5,0.7,19.8,0.9,3.3,0,0,4.9,1
Peanut Butter,Tbsp,0.07,2.00,188.5,0,16,155.5,6.9,2.1,7.7,0,0,13.1,0.6
Pork,Oz,0.81,4.00,710.8,105.1,72.2,38.4,0,0,13.8,14.7,0,59.9,0.4
Sardines in Oil,pc,0.45,2.00,49.9,34.1,2.7,121.2,0,0,5.9,53.8,0,91.7,0.7
White Tuna in Water,Oz,0.69,3.00,115.6,35.7,2.1,333.2,0,0,22.7,68,0,3.4,0.5
"Popcorn,Air- Popped",Oz,0.04,1.00,108.3,0,1.2,1.1,22.1,4.3,3.4,55.6,0,2.8,0.8
"Potato Chips,Bbqflvr",Oz,0.22,1.00,139.2,0,9.2,212.6,15,1.2,2.2,61.5,9.6,14.2,0.5
Pretzels,Oz,0.12,1.00,108,0,1,486.2,22.5,0.9,2.6,0,0,10.2,1.2
Tortilla Chip,Oz,0.19,1.00,142,0,7.4,149.7,17.8,1.8,2,55.6,0,43.7,0.4
Chicknoodl Soup,C (8 Fl Oz),0.39,1.00,150.1,12.3,4.6,1862.2,18.7,1.5,7.9,1308.7,0,27.1,1.5
Splt Pea&Hamsoup,C (8 Fl Oz),0.67,1.00,184.8,7.2,4,964.8,26.8,4.1,11.1,4872,7,33.6,2.1
Vegetbeef Soup,C (8 Fl Oz),0.71,1.00,158.1,10,3.8,1915.1,20.4,4,11.2,3785.1,4.8,32.6,2.2
Neweng Clamchwd,C (8 Fl Oz),0.75,1.00,175.7,10,5,1864.9,21.8,1.5,10.9,20.1,4.8,82.8,2.8
Tomato Soup,C (8 Fl Oz),0.39,1.00,170.7,0,3.8,1744.4,33.2,1,4.1,1393,133,27.6,3.5
"New E Clamchwd,W/ Mlk",C (8 Fl Oz),0.99,1.00,163.7,22.3,6.6,992,16.6,1.5,9.5,163.7,3.5,186,1.5
"Crm Mshrm Soup,W/Mlk",C (8 Fl Oz),0.65,1.00,203.4,19.8,13.6,1076.3,15,0.5,6.1,153.8,2.2,178.6,0.6
"Beanbacn Soup,W/Watr",C (8 Fl Oz),0.67,1.00,172,2.5,5.9,951.3,22.8,8.6,7.9,888,1.5,81,2
